rndrng_prvdr_state_abrvtn,unweighted_ratio,weighted_ratio,difference,Total Discharges,Unique Providers,unweighted_rank,weighted_rank,rank_change
NV,11.401295539383614,10.750247641752086,0.6510478976315284,43206,21,1.0,1.0,0.0
CO,9.337751690864225,8.724345378199073,0.6134063126651519,44567,47,2.0,2.0,0.0
FL,9.274928103281487,8.514710072016916,0.7602180312645714,444244,165,3.0,3.0,0.0
TX,8.492928568106521,8.17473392725031,0.31819464085621085,334970,241,5.0,4.0,1.0
NJ,8.881764299307823,7.940118470806948,0.9416458285008753,176887,61,4.0,5.0,-1.0
CA,7.765950046473074,7.325531241945786,0.44041880452728854,462315,272,6.0,6.0,0.0
KS,7.502259270229835,7.140656752822671,0.36160251740716465,52642,43,7.0,7.0,0.0
PA,7.156760153326017,7.097391151983109,0.059369001342908234,223776,127,11.0,8.0,3.0
AL,7.500724436532774,7.0276031345949965,0.4731213019377778,67132,69,8.0,9.0,-1.0
AK,7.214328053333399,6.612172965260196,0.6021550880732027,9804,8,10.0,10.0,0.0
AZ,7.359614474468529,6.566827692951566,0.7927867815169627,96271,60,9.0,11.0,-2.0
SC,6.736449391197973,6.496402176078692,0.24004721511928118,91788,51,13.0,12.0,1.0
TN,6.507567055046369,6.280101118368599,0.22746593667777049,116069,75,14.0,13.0,1.0
GA,6.310717953587017,6.225713633331104,0.08500432025591298,129123,87,16.0,14.0,2.0
OK,6.267348711137616,6.187712478173875,0.07963623296374056,70610,63,17.0,15.0,2.0
NY,6.043417367240361,6.1257647513414515,-0.08234738410109088,328890,125,21.0,16.0,5.0
LA,6.421703507190581,6.078183466376323,0.34352004081425846,60578,74,15.0,17.0,-2.0
KY,6.243963464203324,6.006406637895992,0.23755682630733155,73307,58,18.0,18.0,0.0
VA,6.224133465277525,5.799831340153816,0.4243021251237087,153759,71,19.0,19.0,0.0
VT,6.944077713300112,5.761951819352562,1.1821258939475507,9016,6,12.0,20.0,-8.0
DC,6.146488604256947,5.588606151949378,0.5578824523075694,16270,6,20.0,21.0,-1.0
WA,5.875733795940819,5.477416693562457,0.39831710237836226,83621,45,23.0,22.0,1.0
IN,5.70142007669753,5.468483731203745,0.23293634549378517,107459,80,27.0,23.0,4.0
MO,5.975897180107148,5.4492702383443445,0.5266269417628031,105310,62,22.0,24.0,-2.0
IL,5.767185564491445,5.42947210416259,0.33771346032885496,216831,115,25.0,25.0,0.0
WV,5.528460390663951,5.409645058102558,0.1188153325613932,36604,23,29.0,26.0,3.0
OH,5.555465740882865,5.379252682330452,0.17621305855241332,174926,114,28.0,27.0,1.0
MS,5.7030727149056855,5.353947882068624,0.3491248328370613,55291,51,26.0,28.0,-2.0
ID,5.407088056238063,5.147567292104676,0.259520764133387,17464,15,30.0,29.0,1.0
SD,5.278116686802884,5.057678294291157,0.2204383925117268,21042,15,32.0,30.0,2.0
NM,5.841873905025404,5.023385548942531,0.8184883560828728,19057,23,24.0,31.0,-7.0
WI,5.04269214713582,4.828106789878111,0.21458535725770833,64901,64,34.0,32.0,2.0
NH,5.331301625140652,4.757474714261881,0.573826910878771,25764,13,31.0,33.0,-2.0
IA,4.9350109080129725,4.739443413804811,0.1955674942081611,45476,30,35.0,34.0,1.0
AR,5.100136896162529,4.707220898341475,0.3929159978210537,54526,41,33.0,35.0,-2.0
NC,4.932201068441563,4.6886042711716085,0.2435967972699542,149256,78,36.0,36.0,0.0
NE,4.805260103781786,4.607256491198076,0.1980036125837108,32058,24,38.0,37.0,1.0
ME,4.583969363721873,4.5638446920883995,0.020124671633473312,14554,17,39.0,38.0,1.0
HI,4.582464445199564,4.409418164614111,0.1730462805854529,11470,11,40.0,39.0,1.0
UT,4.841193173556867,4.407927836706681,0.4332653368501864,23818,29,37.0,40.0,-3.0
MI,4.359746487016683,4.179685344026804,0.18006114298987974,130044,86,44.0,41.0,3.0
DE,4.428704856767562,4.177478629549941,0.25122622721762156,27539,6,41.0,42.0,-1.0
CT,4.404792630616047,4.1380055762849635,0.2667870543310835,53479,25,42.0,43.0,-1.0
MN,4.401023517418751,4.092175526044539,0.30884799137421215,74740,45,43.0,44.0,-1.0
ND,4.046273413135688,3.806575897378895,0.23969751575679288,15904,7,45.0,45.0,0.0
OR,4.019364755177083,3.765984729310716,0.2533800258663672,36581,31,46.0,46.0,0.0
RI,3.7768511634862243,3.42070269592061,0.35614846756561436,13973,9,47.0,47.0,0.0
MT,3.7238818732900296,3.3338810480320458,0.39000082525798385,15714,10,48.0,48.0,0.0
WY,3.534910267728514,3.331053128733047,0.20385713899546687,5987,9,49.0,49.0,0.0
MA,3.081504453120558,3.1486936301349555,-0.0671891770143973,183218,54,50.0,50.0,0.0
MD,1.2440819815159812,1.2098397005950474,0.03424228092093373,130650,44,51.0,51.0,0.0
